SA1_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
30101100101,48,1820,1003,423,2924,0.7,2725,3
30101100102,36,1950,939,420,2368,0.8,2250,2.9
30101100103,42,1950,809,355,2181,0.7,2059,2.8
30101100104,43,1950,921,480,2368,0.7,2187,2.7
30101100105,41,1733,587,220,1541,0.8,1170,2.5
30101100106,41,2109,859,470,2353,0.7,2225,2.9
30101100107,37,1750,754,408,2125,0.7,1687,2.8
30101100108,36,1863,834,398,2048,0.8,1910,2.7
30101100109,40,1933,712,400,1778,0.8,1733,2.8
30101100110,37,1822,757,400,2146,0.8,1924,3
30101100111,37,1700,882,420,2100,0.8,1823,2.6
30101100112,37,1738,777,383,1821,0.7,1488,2.6
30101100113,32,1733,739,405,2062,0.8,1916,3
30101100114,36,1800,767,420,1808,0.8,1881,2.7
30101100115,39,1625,778,300,1864,0.8,1762,2.7
30101100116,34,1809,690,350,1562,0.9,1255,2.4
30101100117,41,1783,747,380,1768,0.7,1375,2.5
30101100118,37,1810,865,388,2009,0.8,1875,2.8
30101100119,39,1842,795,415,2178,0.8,1812,2.9
30101100120,39,1668,747,415,1875,0.7,1649,2.6
30101100121,40,1992,847,400,2083,0.7,1949,2.7
30101100122,43,2083,1012,520,2609,0.7,2515,2.9
30101100123,41,1715,711,340,1958,0.8,1326,2.3
30101100124,37,1950,734,440,2028,0.8,1771,2.8
30101100125,35,1647,813,415,2038,0.8,1875,2.8
30101100126,36,1820,839,400,1974,0.8,1696,2.7
30101100127,32,1821,905,400,2083,0.8,1916,2.6
30101100128,35,1790,844,378,2016,0.9,1861,2.9
30101100129,36,1733,775,380,1899,0.7,1660,2.6
30101100130,54,1707,722,440,1910,0.8,1521,2.5
30101100131,39,1760,847,425,2187,0.7,2102,2.8
30101100132,35,1950,622,175,1416,0.8,1312,2.7
30101100133,37,1640,733,385,1781,0.8,1555,2.6
30101100134,37,1802,963,400,2276,0.7,1859,2.5
30101100135,40,1820,889,440,2013,0.7,1861,2.6
30101100136,35,1846,938,405,2206,0.8,2156,2.8
30101100137,34,1939,961,420,2096,0.8,1976,2.7
30101100138,33,1877,931,400,2083,0.8,1712,2.7
30101100139,37,1733,948,408,2166,0.8,1985,2.6
30101100140,38,1997,828,400,2125,0.8,1792,2.7
30101100141,42,1950,988,410,2382,0.7,2208,2.6
30101100142,47,2167,854,650,2403,0.7,2422,3
30101100143,0,0,0,0,0,0,0,0
30101100144,0,0,0,0,0,0,0,0
30101100145,41,2000,936,450,2265,0.7,1921,2.7
30101100201,46,3950,845,345,2833,0.8,2650,2.9
30101100202,45,4567,1037,368,3643,0.7,3541,3.2
30101100203,46,2400,844,310,2281,0.8,2549,3.3
30101100204,46,3500,808,450,2583,0.7,2480,3.1
30101100205,41,3500,1003,530,3250,0.8,3055,3.4
30101100206,41,2450,838,450,2859,0.9,2845,3.5
30101100207,48,3500,868,400,3125,0.8,3071,3.2
30101100208,44,2297,1076,598,3083,0.8,3062,3.2
30101100209,40,2207,982,415,3250,0.7,3125,3.4
30101100210,46,3850,1004,395,3208,0.8,3625,3.4
30101100211,54,0,887,10,2750,1.3,1699,2
30101100212,35,1733,987,440,2190,0.8,2134,2.5
30101100213,37,2167,929,500,2587,0.8,2521,3
30101100214,34,2184,1104,478,2550,0.8,2356,2.7
30101100215,43,2167,903,478,2312,0.7,1978,2.6
30101100216,43,1733,868,560,2750,0.7,2250,3
30101100217,45,1733,939,424,3249,0.7,2187,2.7
30101100218,41,2000,881,590,2853,0.8,2666,3.1
30101100219,36,2383,1076,650,3070,0.7,2849,3
30101100220,40,1950,894,197,2444,0.8,2134,2.8
30101100221,41,2343,1005,503,3020,0.7,2866,3
30101100301,51,3000,973,810,2937,0.6,2791,2.7
30101100302,44,1946,815,405,1926,0.7,1612,2.4
30101100303,62,1733,515,330,1050,0.7,781,1.9
30101100304,37,2238,709,395,2028,0.8,1976,3
30101100305,38,2167,889,490,2441,0.7,2250,2.8
30101100306,43,2167,921,543,2718,0.7,2607,2.9
30101100307,37,2184,991,495,2784,0.8,2652,3.1
30101100308,39,1910,915,460,2031,0.7,1921,2.8
30101100309,44,2000,981,515,2767,0.7,2678,3
30101100310,47,2600,897,548,2676,0.7,2517,3.1
30101100311,40,1950,771,425,2077,0.8,1875,2.8
30101100312,41,1907,806,470,2115,0.8,1803,2.7
30101100313,40,1950,842,455,2092,0.7,1949,2.7
30101100314,37,1868,912,450,2156,0.7,1908,2.7
30101100315,37,1929,728,450,2083,0.8,2125,3
30101100316,36,2080,943,500,2341,0.7,2239,3
30101100317,46,2167,853,465,2567,0.7,2077,2.6
30101100318,35,1989,905,450,2250,0.8,2181,3
30101100319,36,1733,856,415,1875,0.7,1550,2.4
30101100320,41,1944,740,429,2175,0.7,1784,2.7
30101100321,41,2000,795,490,2374,0.7,2180,2.9
30101100322,46,2020,883,498,2463,0.6,2266,2.6
30101100323,42,2167,826,488,2462,0.7,2250,2.9
30101100324,40,2177,990,470,2949,0.7,2736,3
30101100325,36,1899,833,400,2316,0.8,2189,2.9
30101100326,80,0,3125,0,7000,0.6,7000,3
30101100327,69,2500,425,106,2250,1,417,1.1
30101100328,79,1126,586,282,1047,0.8,758,1.5
30101100329,38,1950,958,420,2382,0.7,2042,2.5
30101100330,36,1876,812,450,2232,0.8,2015,2.9
30101100331,43,1961,1020,435,2687,0.7,2327,2.7
30101100332,79,1083,498,400,1125,0.7,736,1.6
30101100333,41,2000,779,448,1928,0.7,1958,2.8
30101100334,44,1907,725,350,2016,0.8,1266,2.2
30101100335,44,2283,905,680,2513,0.7,2289,2.8
30101100336,53,1929,830,490,2687,0.6,2250,2.5
30101100401,37,1733,876,420,1946,0.8,1928,2.7
30101100402,36,1733,913,465,2281,0.8,2207,2.9
30101100403,40,1516,776,303,1920,0.8,1058,1.9
30101100404,34,1517,702,360,1547,0.8,1228,2.4
30101100405,41,1735,771,428,1962,0.7,1713,2.5
30101100406,48,1760,720,316,1524,0.7,1354,2.3
30101100407,54,1652,490,345,1607,0.8,1279,2.1
30101100408,38,1337,732,345,1462,0.8,1184,2
