route_id	service_id	trip_id	trip_headsign	direction_id	block_id	shape_id
130-3396	BT 23_24-35208	26581348-BT 23_24-35208	Queen Street station	0		1300006
150-3396	BT 23_24-35208	26581349-BT 23_24-35208	Queen Street station	0		1500016
111-3396	BT 23_24-35208	26581350-BT 23_24-35208	Roma Street station	0		1110008
100-3396	BT 23_24-35208	26581351-BT 23_24-35208	Queen Street station	0		1000009
130-3396	BT 23_24-35208	26581352-BT 23_24-35208	Queen Street station	0		1300006
150-3396	BT 23_24-35208	26581353-BT 23_24-35208	Queen Street station	0		1500016
111-3396	BT 23_24-35208	26581354-BT 23_24-35208	Roma Street station	0		1110008
222-3396	BT 23_24-35208	26581355-BT 23_24-35208	Roma Street station	0		2220003
333-3396	BT 23_24-35208	26581356-BT 23_24-35208	Cultural Centre station	0		3330018
175-3396	BT 23_24-35208	26581357-BT 23_24-35208	"Fortitude Valley, Warner St"	0		1750008
125-3396	BT 23_24-35208	26581358-BT 23_24-35208	"Fortitude Valley, Ballow St"	0		1250014
230-3396	BT 23_24-35208	26581359-BT 23_24-35208	"Fortitude Valley, Brunswick St"	0		2300015
185-3396	BT 23_24-35208	26581360-BT 23_24-35208	"Fortitude Valley, Ballow St"	0		1850007
345-3396	BT 23_24-35208	26581361-BT 23_24-35208	Cultural Centre station	0		3450012
130-3396	BT 23_24-35208	26581362-BT 23_24-35208	Queen Street station	0		1300006
140-3396	BT 23_24-35208	26581363-BT 23_24-35208	Queen Street station	0		1400017
100-3396	BT 23_24-35208	26581364-BT 23_24-35208	Queen Street station	0		1000009
204-3396	BT 23_24-35208	26581365-BT 23_24-35208	"Fortitude Valley, Warner St"	0		2040628
174-3396	BT 23_24-35208	26581366-BT 23_24-35208	"Fortitude Valley, Warner St"	0		1740008
150-3396	BT 23_24-35208	26581367-BT 23_24-35208	Queen Street station	0		1500016
381-3396	BT 23_24-35208	26581368-BT 23_24-35208	"Spring Hill, Wickham Tce"	0		3810009
370-3396	BT 23_24-35208	26581369-BT 23_24-35208	"City, Herschel St"	0		3700012
180-3396	BT 23_24-35208	26581370-BT 23_24-35208	Queen Street station	0		1800002
330-3396	BT 23_24-35208	26581371-BT 23_24-35208	Cultural Centre station	0		3300027
