,o_lat,o_lon,frequency,Median_age_persons,Med_mort_repaymnt_monthly,Median_rent_weekly,Med_tot_hh_incom_weekly,Average_household_size,quantity_class
0,-27.467834,153.019079,649.0,28.0,1900.0,500.0,1784.0,1.8,Medium
1,-27.468095,153.018744,600.0,28.0,1900.0,500.0,1784.0,1.8,Medium
2,-27.467009,153.023393,319.0,26.0,0.0,2500.0,350.0,0.0,Low
3,-27.463306,153.028396,66.0,34.0,1500.0,400.0,1798.0,1.8,High
4,-27.462892,153.030592,569.0,28.0,1738.0,480.0,1850.0,1.8,High
5,-27.464013,153.029154,896.0,28.0,1738.0,480.0,1850.0,1.8,High
6,-27.466105,153.026494,511.0,33.0,1950.0,340.0,1125.0,1.4,High
7,-27.466487,153.026002,1343.0,33.0,1950.0,340.0,1125.0,1.4,High
8,-27.467273,153.02496,718.0,33.0,1950.0,340.0,1125.0,1.4,High
9,-27.468003,153.02397,177.0,33.0,1950.0,340.0,1125.0,1.4,High
10,-27.465444,153.027343,530.0,26.0,1625.0,380.0,2015.0,1.6,High
11,-27.468761,153.023057,1365.0,38.0,2217.0,540.0,2033.0,2.0,High
12,-27.469831,153.023167,1241.0,38.0,2217.0,540.0,2033.0,2.0,High
13,-27.469777,153.023218,599.0,38.0,2217.0,540.0,2033.0,2.0,High
14,-27.469383,153.023722,1261.0,38.0,2217.0,540.0,2033.0,2.0,High
15,-27.469016,153.024221,2000.0,33.0,1950.0,340.0,1125.0,1.4,High
16,-27.468528,153.024827,171.0,33.0,1950.0,340.0,1125.0,1.4,Low
17,-27.468397,153.024996,644.0,33.0,1950.0,340.0,1125.0,1.4,Medium
18,-27.467987,153.025522,1658.0,33.0,1950.0,340.0,1125.0,1.4,High
19,-27.467609,153.025995,1120.0,33.0,1950.0,340.0,1125.0,1.4,High
20,-27.46728,153.026411,620.0,33.0,1950.0,340.0,1125.0,1.4,High
21,-27.467098,153.026667,775.0,33.0,1950.0,340.0,1125.0,1.4,High
22,-27.465899,153.02819,1343.0,26.0,1625.0,380.0,2015.0,1.6,High
23,-27.465718,153.028426,2674.0,26.0,1625.0,380.0,2015.0,1.6,High
24,-27.464681,153.029766,1698.0,28.0,1738.0,480.0,1850.0,1.8,High
25,-27.463027,153.031688,678.0,33.0,2383.0,450.0,1937.0,1.9,High
26,-27.466376,153.027913,87.0,33.0,1950.0,340.0,1125.0,1.4,High
27,-27.464389,153.030371,1654.0,28.0,1738.0,480.0,1850.0,1.8,High
28,-27.464835,153.029796,1540.0,31.0,1916.0,545.0,2250.0,1.8,High
29,-27.466093,153.028155,974.0,26.0,1625.0,380.0,2015.0,1.6,High
30,-27.467126,153.026852,1954.0,33.0,1950.0,340.0,1125.0,1.4,High
31,-27.467224,153.026699,540.0,33.0,1950.0,340.0,1125.0,1.4,High
32,-27.467873,153.02586,1122.0,33.0,1950.0,340.0,1125.0,1.4,High
33,-27.468122,153.025547,318.0,33.0,1950.0,340.0,1125.0,1.4,High
34,-27.468349,153.025227,1106.0,33.0,1950.0,340.0,1125.0,1.4,High
35,-27.46876,153.024712,1164.0,33.0,1950.0,340.0,1125.0,1.4,High
36,-27.469401,153.023894,626.0,38.0,2217.0,540.0,2033.0,2.0,High
37,-27.469688,153.023517,1003.0,38.0,2217.0,540.0,2033.0,2.0,High
38,-27.469846,153.02335,914.0,38.0,2217.0,540.0,2033.0,2.0,High
39,-27.470016,153.023096,534.0,38.0,2217.0,540.0,2033.0,2.0,Medium
40,-27.462957,153.031931,644.0,46.0,2234.0,650.0,2423.0,1.8,High
41,-27.472343,153.027028,162.0,24.0,1700.0,398.0,1146.0,1.6,High
42,-27.470908,153.027219,63.0,29.0,1708.0,420.0,1481.0,1.8,High
43,-27.470561,153.027662,81.0,29.0,1708.0,420.0,1481.0,1.8,High
44,-27.467841,153.027454,462.0,33.0,1950.0,340.0,1125.0,1.4,High
