,stop_id,frequency
0,10723,3
1,18011,3
2,748,3
3,30054,3
4,30055,3
5,1551,3
6,14106,3
7,1784,3
8,10254,3
9,5184,3
10,5236,3
11,1493,3
12,5357,3
13,5368,3
14,5395,3
15,2676,3
16,1909,3
17,18012,3
18,30069,3
19,18013,3
20,1902,3
21,1897,3
22,18016,3
23,18022,3
24,1900,3
25,18015,3
26,18014,3
27,11171,3
28,4502,6
29,4503,6
30,30051,6
31,6614,6
32,10841,6
33,10842,6
34,30028,6
35,10843,6
36,11340,6
37,11330,6
38,18008,6
39,18009,6
40,30098,6
41,5959,6
42,30064,6
43,2052,6
44,159,6
45,18017,6
46,798,9
47,321099,9
48,12100,9
49,12097,9
50,5503,9
51,2066,9
52,10957,9
53,5502,9
54,5094,9
55,3128,9
56,10958,9
57,5299,10
58,5262,10
59,10099,10
60,5279,10
61,5288,10
62,2585,10
63,6191,10
64,1959,10
65,6088,10
66,1954,10
67,5816,12
68,908,12
69,909,12
70,910,12
71,911,12
72,2658,12
73,913,12
74,914,12
75,915,12
76,14227,12
77,4863,12
78,11278,12
79,11276,12
80,11288,12
81,3493,12
82,3498,12
83,3496,12
84,12084,12
85,12082,12
86,321098,12
87,12085,12
88,12086,12
89,200313,12
90,3495,12
91,200312,12
92,11098,12
93,1903,12
94,3519,12
95,5838,12
96,6380,12
97,12098,12
98,11099,12
99,11275,12
100,912,12
101,1165,12
102,10947,12
103,1377,12
104,1378,12
105,1379,12
106,1375,12
107,10135,12
108,6613,12
109,12099,12
110,1374,12
111,2304,12
112,10065,12
113,3131,12
114,10042,12
115,10001,12
116,10044,12
117,1376,12
118,5311,13
119,5802,13
120,5313,13
121,200314,15
122,2053,15
123,83,15
124,10002,15
125,5767,15
126,3710,15
127,3678,15
128,11257,15
129,3660,15
130,1901,15
131,4260,15
132,10587,15
133,1896,15
134,3677,15
135,1899,15
136,30095,15
137,30094,15
138,13042,15
139,10302,15
140,11389,15
141,11249,15
142,11391,15
143,3362,15
144,13071,15
145,1207,15
146,1208,15
147,1209,15
148,11393,15
149,3500,15
150,11394,15
151,11267,15
152,3492,15
153,3494,15
154,10694,15
155,3497,15
156,30099,15
157,3499,15
158,6402,15
159,30097,15
160,30096,15
161,10241,15
162,11273,15
163,1783,15
164,4120,16
165,12053,17
166,10582,18
167,11281,18
168,2176,18
169,6490,18
170,11279,18
171,11277,18
172,2180,18
173,2182,18
174,11274,18
175,11388,18
176,11390,18
177,11392,18
178,10689,18
179,19095,18
180,10028,18
181,2525,18
182,3126,18
183,19082,18
184,4424,18
185,3662,18
186,10244,18
187,3663,18
188,3668,18
189,3673,18
190,14226,18
191,11329,18
192,5810,18
193,3709,18
194,2110,18
195,1678,18
196,2043,18
197,2046,18
198,18023,18
199,10586,18
200,2049,18
201,2058,18
202,2059,18
203,2097,18
204,18004,18
205,5839,18
206,2051,18
207,2102,18
208,18003,18
209,2107,18
210,2104,18
211,2108,18
212,3415,20
213,3400,20
214,3399,20
215,3398,20
216,3465,20
217,3397,20
218,3585,20
219,10597,20
220,3462,20
221,3396,20
222,3395,20
223,3394,20
224,3374,20
225,3369,20
226,3368,20
227,4075,20
228,3970,20
229,3432,20
230,3416,20
231,3972,20
232,3586,20
233,3431,20
234,3430,20
235,3429,20
236,3428,20
237,3427,20
238,3426,20
239,3971,20
240,10678,20
241,10472,20
242,10676,20
243,10675,20
244,3425,20
245,3433,20
246,3418,20
247,3467,20
248,3417,20
249,3973,20
250,10677,20
251,31002,21
252,169,21
253,18007,21
254,3237,21
255,31004,21
256,10757,21
257,10304,21
258,1461,21
259,1463,21
260,1465,21
261,1467,21
262,6590,21
263,2181,21
264,2178,21
265,2177,21
266,2111,21
267,1460,21
268,2109,21
269,2105,21
270,2103,21
271,2098,21
272,2060,21
273,2050,21
274,2048,21
275,2047,21
276,2045,21
277,2044,21
278,2106,21
279,3235,21
280,2331,21
281,2336,21
282,31006,21
283,3231,21
284,3229,21
285,3226,21
286,3223,21
287,3221,21
288,3219,21
289,3217,21
290,3215,21
291,2333,21
292,3213,21
293,3197,21
294,13072,21
295,2983,21
296,31011,21
297,18010,21
298,31015,21
299,11256,21
300,2570,21
301,1441,21
302,3198,21
303,31013,21
304,3232,21
305,3810,21
306,10756,21
307,4425,21
308,1907,22
309,10339,23
310,3466,23
311,10006,23
312,11010,23
313,11016,23
314,4468,23
315,3908,23
316,2908,23
317,11017,23
318,3463,23
319,3914,23
320,4221,23
321,2150,23
322,4462,23
323,4457,23
324,10252,23
325,4466,23
326,2091,23
327,3464,23
328,2169,23
329,10236,23
330,3561,24
331,12002,24
332,11998,24
333,2142,24
334,12004,24
335,12005,24
336,3562,24
337,12000,24
338,3975,24
339,12007,24
340,10308,24
341,14090,24
342,4991,24
343,5003,24
344,5046,24
345,3402,24
346,3963,24
347,3964,24
348,4380,24
349,5283,24
350,5290,24
351,5821,24
352,3977,24
353,3978,24
354,1380,24
355,12006,24
356,5831,24
357,3962,24
358,5851,24
359,5847,24
360,5843,24
361,3559,24
362,5832,24
363,3545,24
364,5842,24
365,3560,24
366,5861,24
367,5855,24
368,6209,26
369,6205,26
370,11309,26
371,6207,26
372,13010,27
373,3196,27
374,5002,27
375,14037,27
376,31007,27
377,4992,27
378,10237,27
379,14036,27
380,10204,27
381,6032,27
382,13041,27
383,4415,27
384,61016,27
385,31008,27
386,6034,27
387,14035,27
388,6038,27
389,13011,27
390,3277,27
391,14019,27
392,3236,27
393,13015,27
394,3234,27
395,3233,27
396,14014,27
397,13013,27
398,3230,27
399,3228,27
400,3227,27
401,4463,27
402,3225,27
403,3224,27
404,14012,27
405,3222,27
406,4461,27
407,3220,27
408,4458,27
409,6162,27
410,3216,27
411,10253,27
412,1973,27
413,6036,27
414,31009,27
415,31012,27
416,1977,27
417,11009,27
418,8021,27
419,8020,27
420,5854,27
421,11015,27
422,3909,27
423,61008,27
424,5853,27
425,1468,27
426,5844,27
427,11020,27
428,5796,27
429,5797,27
430,2090,27
431,2168,27
432,5808,27
433,61006,27
434,61005,27
435,11018,27
436,10337,27
437,1462,27
438,1459,27
439,2984,27
440,61015,27
441,1978,27
442,1983,27
443,6197,27
444,1992,27
445,1993,27
446,13008,27
447,31014,27
448,3806,27
449,10860,27
450,3913,27
451,13000,27
452,2029,27
453,2337,27
454,1438,27
455,4261,27
456,2334,27
457,2332,27
458,31010,27
459,1466,27
460,31018,27
461,10416,27
462,31003,27
463,3639,27
464,4469,27
465,13023,27
466,10448,27
467,4467,27
468,13002,27
469,13025,27
470,13018,27
471,10870,27
472,10381,27
473,13020,27
474,13006,27
475,31001,27
476,3607,27
477,10858,27
478,10868,27
479,10864,27
480,30090,27
481,13004,27
482,10862,27
483,10340,27
484,10417,27
485,10871,27
486,31005,27
487,10418,27
488,904,27
489,4284,29
490,4278,29
491,4277,29
492,4273,29
493,4286,29
494,4275,29
495,4226,29
496,4295,29
497,4225,29
498,4288,29
499,4297,29
500,4291,29
501,4280,29
502,4282,29
503,13122,30
504,11289,30
505,1420,30
506,1422,30
507,1423,30
508,11287,30
509,1421,30
510,5845,30
511,10120,30
512,11285,30
513,6198,30
514,93,30
515,1418,30
516,5809,30
517,10445,30
518,11022,30
519,10444,30
520,825,30
521,12051,30
522,5852,30
523,3405,30
524,1233,30
525,1234,30
526,1236,30
527,4414,30
528,13131,30
529,1419,30
530,1436,30
531,1424,30
532,1982,30
533,14034,30
534,6035,30
535,6037,30
536,4074,30
537,6196,30
538,13124,30
539,6033,30
540,6039,30
541,14013,30
542,14015,30
543,14016,30
544,12048,30
545,12049,30
546,12050,30
547,14011,30
548,10245,30
549,13123,30
550,1972,30
551,1437,30
552,1969,30
553,1968,30
554,1976,30
555,1974,30
556,72,30
557,1501,31
558,14006,32
559,4294,32
560,4296,32
561,14004,32
562,4309,32
563,6043,32
564,1069,32
565,4227,32
566,4292,32
567,1067,32
568,4285,32
569,6078,32
570,4302,32
571,4303,32
572,4305,32
573,4287,32
574,4311,32
575,4298,32
576,14010,32
577,14008,32
578,4279,32
579,4281,32
580,14000,32
581,13098,32
582,13096,32
583,13095,32
584,4283,32
585,4276,32
586,799,32
587,4307,32
588,4289,32
589,4274,32
590,10664,33
591,10665,33
592,1451,33
593,1470,33
594,10663,33
595,4484,33
596,1475,33
597,1432,33
598,845,33
599,846,33
600,1430,33
601,5641,33
602,3987,33
603,3986,33
604,10666,33
605,10075,33
606,10873,33
607,1476,33
608,852,33
609,853,33
610,3638,33
611,1473,33
612,5768,33
613,5708,33
614,5793,33
615,3981,33
616,1480,33
617,1479,33
618,849,33
619,1483,33
620,10861,33
621,13009,33
622,10834,33
623,10857,33
624,4029,33
625,13021,33
626,13007,33
627,10869,33
628,13022,33
629,13001,33
630,13017,33
631,1984,33
632,10865,33
633,13024,33
634,1986,33
635,13003,33
636,13012,33
637,10867,33
638,10831,33
639,1990,33
640,842,33
641,10859,33
642,13029,33
643,839,33
644,1988,33
645,13026,33
646,13016,33
647,10863,33
648,834,33
649,13005,33
650,13014,33
651,15759,34
652,11999,34
653,10509,34
654,5859,34
655,10508,34
656,12001,34
657,13046,34
658,10704,34
659,5856,34
660,5835,34
661,10513,34
662,10706,34
663,5850,34
664,5846,34
665,5282,34
666,5291,34
667,5084,34
668,12003,34
669,5066,35
670,5053,35
671,2055,35
672,2057,35
673,12052,35
674,1985,36
675,1482,36
676,1481,36
677,4243,36
678,12063,36
679,1478,36
680,1477,36
681,12088,36
682,1474,36
683,1472,36
684,5956,36
685,12061,36
686,5908,36
687,1989,36
688,4248,36
689,3826,36
690,3827,36
691,2071,36
692,4246,36
693,3830,36
694,3824,36
695,850,36
696,847,36
697,3832,36
698,840,36
699,3860,36
700,4244,36
701,843,36
702,848,36
703,12060,36
704,854,36
705,833,36
706,1991,36
707,12057,36
708,6206,36
709,10833,36
710,6208,36
711,5954,36
712,4251,36
713,5948,36
714,12054,36
715,2056,36
716,4253,36
717,3822,36
718,2061,36
719,1469,36
720,844,36
721,10832,36
722,3818,36
723,5060,36
724,10379,36
725,10383,36
726,3814,36
727,10076,36
728,5065,36
729,10415,36
730,2906,36
731,2897,36
732,1431,36
733,1433,36
734,4262,36
735,4259,36
736,10966,36
737,3816,36
738,12046,36
739,10223,37
740,10510,37
741,10514,37
742,4485,37
743,10705,37
744,10707,37
745,11219,37
746,3812,38
747,3825,38
748,1620,38
749,5335,38
750,4464,38
751,10967,38
752,3813,38
753,10399,38
754,1623,38
755,3831,38
756,12056,38
757,2116,38
758,3833,38
759,3823,38
760,12055,38
761,5343,38
762,5340,38
763,5338,38
764,1622,38
765,1615,38
766,3828,38
767,3928,38
768,3820,38
769,12062,38
770,3819,38
771,3821,38
772,3817,38
773,12064,38
774,3815,38
775,12058,38
776,12059,38
777,11315,39
778,3291,39
779,11313,39
780,10605,39
781,11312,39
782,5906,39
783,11310,39
784,3309,39
785,5945,39
786,10305,39
787,3311,39
788,5953,39
789,11311,39
790,824,39
791,1919,39
792,1232,39
793,3282,39
794,3254,39
795,3253,39
796,11316,39
797,11300,39
798,2881,39
799,2883,39
800,3252,39
801,3251,39
802,3248,39
803,10311,39
804,1237,39
805,1235,39
806,3289,39
807,3529,39
808,10628,39
809,3135,39
810,3140,39
811,10246,39
812,10284,39
813,3185,39
814,3347,39
815,10387,39
816,3187,39
817,11307,39
818,1029,39
819,3181,39
820,3349,39
821,5955,39
822,3352,39
823,3353,39
824,10375,39
825,10373,39
826,10627,39
827,1920,39
828,3188,39
829,3139,39
830,10285,39
831,3180,39
832,1036,39
833,1034,39
834,3141,39
835,3142,39
836,3143,39
837,11243,39
838,3149,39
839,4652,39
840,4195,39
841,4196,39
842,3173,39
843,3174,39
844,3175,39
845,3346,39
846,3176,39
847,3177,39
848,11242,39
849,3184,39
850,3284,39
851,5383,39
852,19908,39
853,5480,39
854,5477,39
855,5476,39
856,4247,39
857,5385,39
858,5384,39
859,11325,39
860,11291,39
861,10712,39
862,5382,39
863,5377,39
864,11324,39
865,4245,39
866,11321,39
867,5374,39
868,10630,39
869,10631,39
870,5367,39
871,11320,39
872,11290,39
873,11319,39
874,19907,39
875,51712,39
876,1428,39
877,1427,39
878,1426,39
879,1425,39
880,2444,39
881,2445,39
882,5481,39
883,51713,39
884,4258,39
885,10453,39
886,2652,39
887,4263,39
888,4252,39
889,5483,39
890,10422,39
891,5482,39
892,4250,39
893,4249,39
894,10511,39
895,1429,39
896,5365,41
897,1019,41
898,5366,41
899,5363,41
900,1624,41
901,2952,41
902,2935,41
903,2948,41
904,2949,41
905,2950,41
906,5362,41
907,2953,41
908,2954,41
909,2955,41
910,1616,41
911,5344,41
912,5337,41
913,5336,41
914,2040,41
915,1619,41
916,2039,41
917,5339,41
918,5353,41
919,5361,41
920,5351,41
921,5360,41
922,5352,41
923,10400,41
924,5359,41
925,1621,41
926,5354,41
927,4301,42
928,2272,42
929,4211,42
930,4795,42
931,2275,42
932,2281,42
933,2298,42
934,2306,42
935,2305,42
936,2387,42
937,3921,42
938,4793,42
939,11318,42
940,2303,42
941,4785,42
942,4155,42
943,2308,42
944,2311,42
945,11317,42
946,3917,42
947,4792,42
948,4465,42
949,4784,42
950,3028,42
951,3027,42
952,3024,42
953,5333,42
954,3927,42
955,3022,42
956,3021,42
957,4306,42
958,3491,42
959,3016,42
960,4783,42
961,4796,42
962,2977,42
963,3922,42
964,4045,42
965,4801,42
966,4790,42
967,4800,42
968,4797,42
969,11308,42
970,11364,42
971,2239,42
972,2636,42
973,4802,42
974,3915,42
975,4786,42
976,2292,42
977,10606,42
978,448,42
979,11303,42
980,10944,42
981,450,42
982,10524,42
983,236,42
984,573,42
985,10501,42
986,456,42
987,455,42
988,11000,42
989,11069,42
990,11202,42
991,51702,42
992,10512,42
993,10062,42
994,10604,42
995,10943,42
996,446,42
997,10946,42
998,11302,42
999,10941,42
1000,11066,42
1001,11306,42
1002,11305,42
1003,10945,42
1004,1639,42
1005,10286,42
1006,10334,42
1007,10130,42
1008,10942,42
1009,20040,42
1010,10986,42
1011,1454,43
1012,1452,43
1013,1272,44
1014,721,44
1015,13069,44
1016,5447,44
1017,1240,44
1018,5446,44
1019,6167,44
1020,6555,44
1021,13091,44
1022,6169,44
1023,13092,44
